n,nodes
200,172
220,225
240,213
260,252
280,295
300,358
320,344
340,378
360,408
380,441
400,498
420,574
440,594
460,574
480,659
500,678
520,695
540,778
560,851
580,895
600,947
620,953
640,1044
660,1064
680,1028
700,1173
720,1259
740,1276
760,1361
780,1384
800,1531
820,1531
840,1579
860,1659
880,1606
900,1575
920,1889
940,1920
960,1961
980,2095
1000,1986
1020,2211
1040,2156
1060,2396
1080,2522
1100,2468
1120,2847
1140,2782
1160,2750
1180,3031
1200,2890
1220,3113
1240,3186
1260,3211
1280,3029
1300,3554
1320,3418
1340,3568
1360,3866
1380,3988
1400,4137
1420,3754
1440,4168
1460,4169
1480,4373
1500,4613
1520,4252
1540,4836
1560,5116
1580,4755
1600,5390
1620,4829
1640,5536
1660,5492
1680,5634
1700,6123
1720,5651
1740,5956
1760,6424
1780,7121
1800,7193
1820,6389
1840,6766
1860,6928
1880,7045
1900,7419
1920,7801
1940,6743
1960,7693
1980,8169
2000,8535
