n,nodes
200,187
220,236
240,253
260,281
280,300
300,324
320,394
340,403
360,438
380,508
400,574
420,581
440,548
460,655
480,682
500,661
520,790
540,808
560,807
580,926
600,994
620,1051
640,1140
660,1132
680,1158
700,1284
720,1293
740,1335
760,1641
780,1662
800,1507
820,1877
840,1773
860,1897
880,1793
900,2010
920,1974
940,2081
960,2153
980,2221
1000,2618
1020,2351
1040,2502
1060,2730
1080,2824
1100,2908
1120,3051
1140,2881
1160,3441
1180,2743
1200,3223
1220,3149
1240,3315
1260,3270
1280,3891
1300,4368
1320,3693
1340,4135
1360,4172
1380,4852
1400,4904
1420,4756
1440,4529
1460,4567
1480,4858
1500,5255
1520,4708
1540,5061
1560,5559
1580,5635
1600,5712
1620,5821
1640,6040
1660,6385
1680,6310
1700,6275
1720,7355
1740,6783
1760,7686
1780,7898
1800,7579
1820,7235
1840,7319
1860,7373
1880,8220
1900,7708
1920,8100
1940,8867
1960,9496
1980,9733
2000,9072
