n,nodes
200,199
220,225
240,235
260,265
280,272
300,340
320,355
340,428
360,402
380,485
400,412
420,473
440,528
460,496
480,567
500,655
520,928
540,729
560,701
580,905
600,867
620,853
640,812
660,809
680,910
700,902
720,927
740,934
760,1059
780,1285
800,1344
820,1125
840,1223
860,1459
880,1195
900,1521
920,1289
940,1316
960,1600
980,1742
1000,1567
1020,1880
1040,1763
1060,1646
1080,2475
1100,1703
1120,1765
1140,1740
1160,2090
1180,1933
1200,1890
1220,1950
1240,2133
1260,2310
1280,2209
1300,2194
1320,2144
1340,2300
1360,2367
1380,2435
1400,2437
1420,2551
1440,2631
1460,2597
1480,2701
1500,2714
1520,2857
1540,3185
1560,2822
1580,2959
1600,3313
1620,3569
1640,3100
1660,3126
1680,3215
1700,3307
1720,9167
1740,3415
1760,3506
1780,3441
1800,3713
1820,3704
1840,3684
1860,4329
1880,3883
1900,3924
1920,4186
1940,4714
1960,4151
1980,4922
2000,4415
