n,nodes
200,230
220,323
240,292
260,360
280,458
300,437
320,519
340,649
360,759
380,599
400,698
420,879
440,817
460,1001
480,1159
500,1315
520,1175
540,1566
560,1490
580,1783
600,1622
620,1601
640,1886
660,2359
680,1770
700,1997
720,2538
740,2460
760,2674
780,3033
800,2268
820,3680
840,3084
860,2770
880,4373
900,4706
920,4225
940,5190
960,3066
980,5520
1000,3666
1020,5943
1040,4648
1060,5892
1080,4274
1100,4732
1120,6983
1140,5231
1160,6834
1180,8679
1200,6449
1220,9548
1240,9357
1260,8771
1280,9129
1300,9667
1320,14900
1340,11713
1360,13468
1380,16608
1400,15008
1420,13023
1440,9581
1460,7171
1480,14626
1500,16698
1520,12693
1540,8837
1560,14567
1580,14017
1600,15568
1620,14717
1640,21359
1660,23558
1680,16121
1700,30705
1720,27214
1740,26274
1760,24027
1780,17370
1800,14301
1820,20370
1840,25161
1860,18400
1880,24678
1900,14739
1920,28251
1940,31673
1960,31662
1980,45052
2000,35063
