n,nodes
200,238
220,282
240,283
260,332
280,342
300,398
320,410
340,445
360,578
380,593
400,551
420,797
440,674
460,771
480,917
500,781
520,886
540,1110
560,1131
580,969
600,1307
620,1313
640,1400
660,1488
680,1219
700,1346
720,1689
740,1405
760,1542
780,1590
800,1678
820,1901
840,1694
860,1818
880,1868
900,2310
920,2019
940,2069
960,2139
980,2267
1000,2360
1020,2236
1040,2352
1060,2383
1080,3179
1100,2622
1120,2749
1140,2706
1160,3566
1180,2983
1200,3799
1220,3991
1240,3295
1260,4128
1280,3420
1300,3446
1320,4554
1340,4592
1360,3723
1380,4751
1400,3857
1420,3757
1440,4070
1460,4016
1480,4134
1500,6111
1520,5473
1540,5749
1560,4660
1580,5949
1600,6495
1620,4865
1640,4953
1660,5155
1680,5087
1700,5144
1720,5704
1740,7576
1760,5450
1780,5802
1800,5844
1820,7901
1840,8383
1860,5993
1880,8993
1900,8486
1920,6651
1940,6566
1960,6951
1980,6741
2000,7027
