n,nodes
200,217
220,304
240,287
260,312
280,345
300,392
320,395
340,431
360,566
380,606
400,567
420,799
440,682
460,774
480,931
500,787
520,870
540,1122
560,1134
580,942
600,1239
620,1307
640,1369
660,1455
680,1253
700,1343
720,1680
740,1372
760,1551
780,1473
800,1644
820,1934
840,1760
860,1794
880,1871
900,2302
920,1973
940,2014
960,2176
980,2202
1000,2374
1020,2279
1040,2408
1060,2434
1080,3351
1100,2559
1120,2765
1140,2799
1160,3586
1180,2938
1200,3726
1220,3976
1240,3238
1260,4023
1280,3304
1300,3496
1320,4542
1340,4516
1360,3683
1380,4868
1400,3943
1420,3781
1440,3970
1460,4002
1480,4243
1500,5905
1520,5513
1540,5768
1560,4599
1580,6013
1600,6502
1620,4990
1640,4942
1660,5035
1680,5123
1700,5192
1720,5612
1740,7279
1760,5367
1780,5807
1800,5780
1820,7818
1840,8162
1860,6132
1880,8726
1900,8490
1920,6494
1940,6645
1960,6949
1980,6748
2000,7009
