n,nodes
200,242
220,261
240,291
260,251
280,318
300,313
320,392
340,383
360,532
380,500
400,616
420,554
440,550
460,540
480,690
500,661
520,674
540,923
560,821
580,743
600,807
620,858
640,978
660,1079
680,997
700,1059
720,1251
740,997
760,1174
780,1241
800,1219
820,1467
840,1279
860,1380
880,1531
900,1392
920,1460
940,1592
960,1552
980,1614
1000,2124
1020,1732
1040,2171
1060,1814
1080,2258
1100,1891
1120,1995
1140,2438
1160,2542
1180,2069
1200,2155
1220,2184
1240,2276
1260,2306
1280,2370
1300,2240
1320,2659
1340,2579
1360,2705
1380,3350
1400,2804
1420,2760
1440,3011
1460,2848
1480,2922
1500,4332
1520,3019
1540,3072
1560,3247
1580,3978
1600,3316
1620,3351
1640,3577
1660,3367
1680,4735
1700,3548
1720,3721
1740,3702
1760,3906
1780,4129
1800,4229
1820,4138
1840,4307
1860,4169
1880,4332
1900,4217
1920,5439
1940,4309
1960,4641
1980,4566
2000,4828
