n,nodes
200,227
220,245
240,293
260,262
280,295
300,321
320,391
340,355
360,534
380,476
400,620
420,511
440,544
460,535
480,685
500,661
520,653
540,918
560,796
580,751
600,840
620,821
640,949
660,1055
680,989
700,1074
720,1193
740,1080
760,1175
780,1255
800,1254
820,1413
840,1298
860,1428
880,1526
900,1415
920,1492
940,1589
960,1531
980,1568
1000,1990
1020,1701
1040,2089
1060,1816
1080,2214
1100,1880
1120,1964
1140,2419
1160,2573
1180,2072
1200,2115
1220,2156
1240,2252
1260,2284
1280,2313
1300,2329
1320,2668
1340,2647
1360,2668
1380,3405
1400,2851
1420,2754
1440,2917
1460,2808
1480,2845
1500,4369
1520,2975
1540,3084
1560,3218
1580,3943
1600,3301
1620,3401
1640,3651
1660,3436
1680,4621
1700,3535
1720,3679
1740,3739
1760,3899
1780,4025
1800,4155
1820,4116
1840,4273
1860,4149
1880,4240
1900,4174
1920,5399
1940,4307
1960,4555
1980,4568
2000,4754
