n,nodes
200,229
220,265
240,315
260,254
280,316
300,307
320,418
340,358
360,510
380,484
400,607
420,552
440,586
460,552
480,706
500,630
520,679
540,921
560,803
580,754
600,829
620,866
640,1000
660,1093
680,985
700,1065
720,1246
740,1066
760,1179
780,1291
800,1277
820,1504
840,1292
860,1387
880,1555
900,1394
920,1502
940,1616
960,1537
980,1583
1000,2077
1020,1701
1040,2181
1060,1818
1080,2215
1100,1881
1120,2006
1140,2475
1160,2580
1180,2052
1200,2137
1220,2141
1240,2321
1260,2299
1280,2302
1300,2390
1320,2637
1340,2648
1360,2745
1380,3385
1400,2762
1420,2728
1440,2954
1460,2837
1480,2903
1500,4458
1520,2991
1540,3051
1560,3138
1580,4017
1600,3333
1620,3396
1640,3586
1660,3422
1680,4793
1700,3545
1720,3642
1740,3716
1760,3878
1780,4078
1800,4212
1820,4154
1840,4264
1860,4225
1880,4288
1900,4258
1920,5507
1940,4256
1960,4445
1980,4587
2000,4783
