n,nodes
200,234
220,274
240,324
260,259
280,312
300,320
320,413
340,378
360,501
380,470
400,622
420,545
440,573
460,532
480,713
500,656
520,696
540,907
560,817
580,785
600,803
620,840
640,953
660,1033
680,1000
700,1074
720,1198
740,1027
760,1128
780,1246
800,1257
820,1435
840,1292
860,1354
880,1464
900,1348
920,1499
940,1569
960,1491
980,1622
1000,2061
1020,1656
1040,2168
1060,1790
1080,2237
1100,1899
1120,1958
1140,2404
1160,2586
1180,2062
1200,2132
1220,2135
1240,2308
1260,2277
1280,2375
1300,2293
1320,2652
1340,2641
1360,2762
1380,3439
1400,2821
1420,2730
1440,2949
1460,2789
1480,2922
1500,4447
1520,3003
1540,2996
1560,3228
1580,4001
1600,3395
1620,3420
1640,3580
1660,3449
1680,4842
1700,3562
1720,3695
1740,3737
1760,3930
1780,4152
1800,4192
1820,4158
1840,4296
1860,4143
1880,4257
1900,4232
1920,5385
1940,4432
1960,4487
1980,4509
2000,4861
