n,nodes
200,250
220,310
240,302
260,346
280,373
300,421
320,414
340,486
360,571
380,549
400,630
420,837
440,904
460,894
480,866
500,894
520,1124
540,1333
560,1205
580,1267
600,1448
620,1520
640,1724
660,1694
680,1682
700,1783
720,1982
740,1867
760,2026
780,2370
800,2374
820,2355
840,2609
860,2764
880,2991
900,3072
920,2928
940,3093
960,2860
980,3427
1000,3560
1020,3411
1040,3729
1060,4219
1080,4580
1100,3523
1120,4454
1140,4493
1160,4893
1180,4820
1200,5455
1220,5050
1240,5042
1260,5724
1280,5081
1300,6704
1320,6246
1340,6637
1360,6006
1380,6692
1400,7315
1420,7122
1440,6832
1460,6917
1480,7808
1500,7662
1520,8507
1540,8122
1560,9374
1580,8045
1600,8766
1620,8966
1640,8539
1660,9839
1680,10065
1700,9738
1720,10736
1740,11175
1760,11279
1780,10110
1800,11534
1820,11059
1840,11914
1860,10450
1880,12611
1900,11747
1920,12326
1940,13919
1960,11730
1980,12268
2000,12540
