n,nodes
200,198
220,235
240,238
260,273
280,267
300,334
320,354
340,354
360,423
380,439
400,471
420,526
440,565
460,643
480,653
500,660
520,703
540,790
560,796
580,845
600,881
620,906
640,997
660,1017
680,1060
700,1141
720,1163
740,1161
760,1266
780,1267
800,1311
820,1493
840,1460
860,1573
880,1531
900,1698
920,1723
940,1750
960,1778
980,1953
1000,1967
1020,2026
1040,2063
1060,2069
1080,2225
1100,2191
1120,2493
1140,2591
1160,2509
1180,2585
1200,2566
1220,2695
1240,2890
1260,2797
1280,2912
1300,3117
1320,2926
1340,3211
1360,3442
1380,3482
1400,3508
1420,3578
1440,3742
1460,3830
1480,3858
1500,3822
1520,4061
1540,3846
1560,4042
1580,4303
1600,4398
1620,4421
1640,4529
1660,4700
1680,4856
1700,4917
1720,4956
1740,5028
1760,5234
1780,5204
1800,5297
1820,5345
1840,5540
1860,5590
1880,5784
1900,5736
1920,5895
1940,5740
1960,6169
1980,6365
2000,6529
