n,nodes
200,187
220,228
240,249
260,279
280,279
300,323
320,350
340,401
360,493
380,468
400,534
420,526
440,477
460,543
480,617
500,634
520,695
540,795
560,867
580,920
600,956
620,1103
640,1030
660,1049
680,1143
700,1173
720,1288
740,1264
760,1335
780,1463
800,1486
820,1436
840,1606
860,1737
880,1848
900,1834
920,2054
940,1927
960,1923
980,2039
1000,2286
1020,2618
1040,2440
1060,2347
1080,2527
1100,2527
1120,2767
1140,2826
1160,3272
1180,2943
1200,2983
1220,3186
1240,2933
1260,3533
1280,3370
1300,3880
1320,3762
1340,4102
1360,3946
1380,4166
1400,4091
1420,3610
1440,4576
1460,5024
1480,4813
1500,5263
1520,4648
1540,4474
1560,5401
1580,4944
1600,5264
1620,5606
1640,5401
1660,5683
1680,6033
1700,6646
1720,6130
1740,6195
1760,7153
1780,7162
1800,6762
1820,7149
1840,6901
1860,7312
1880,7341
1900,6791
1920,7797
1940,7537
1960,7736
1980,8271
2000,9002
