n,nodes
200,149
220,166
240,194
260,218
280,231
300,254
320,263
340,282
360,342
380,316
400,381
420,381
440,382
460,454
480,465
500,492
520,587
540,553
560,594
580,600
600,656
620,665
640,684
660,678
680,742
700,749
720,826
740,829
760,873
780,1007
800,998
820,949
840,1043
860,1071
880,1102
900,1112
920,1105
940,1194
960,1317
980,1241
1000,1334
1020,1340
1040,1379
1060,1437
1080,1578
1100,1485
1120,1586
1140,1642
1160,1582
1180,1670
1200,1782
1220,1697
1240,1729
1260,1835
1280,1862
1300,1963
1320,2035
1340,2021
1360,2001
1380,2117
1400,2120
1420,2247
1440,2355
1460,2434
1480,2393
1500,2568
1520,2424
1540,2650
1560,2564
1580,2656
1600,2663
1620,2795
1640,2937
1660,2800
1680,2888
1700,3068
1720,3275
1740,3080
1760,3246
1780,3355
1800,3143
1820,3257
1840,3310
1860,3339
1880,3484
1900,3700
1920,3709
1940,3758
1960,3738
1980,3872
2000,3887
