n,nodes
200,178
220,214
240,249
260,252
280,269
300,351
320,352
340,386
360,431
380,475
400,441
420,531
440,568
460,546
480,612
500,726
520,849
540,831
560,920
580,858
600,833
620,1115
640,1174
660,1139
680,1061
700,1175
720,1328
740,1374
760,1427
780,1519
800,1575
820,1693
840,1538
860,1784
880,1836
900,1748
920,1857
940,2167
960,2002
980,2071
1000,2350
1020,2653
1040,2694
1060,2592
1080,2905
1100,2495
1120,2466
1140,3099
1160,3205
1180,2597
1200,3350
1220,3095
1240,3044
1260,3369
1280,3876
1300,3841
1320,3898
1340,3828
1360,3793
1380,4239
1400,4107
1420,3970
1440,4829
1460,4365
1480,4274
1500,4679
1520,4700
1540,5229
1560,5214
1580,5229
1600,4958
1620,5623
1640,5856
1660,5586
1680,5058
1700,5341
1720,5985
1740,6221
1760,6547
1780,6633
1800,6690
1820,7369
1840,7103
1860,6809
1880,7255
1900,7528
1920,7750
1940,8247
1960,7940
1980,8849
2000,8141
