n,nodes
200,136
220,185
240,181
260,210
280,219
300,247
320,271
340,307
360,363
380,311
400,346
420,398
440,434
460,455
480,490
500,496
520,493
540,599
560,595
580,610
600,615
620,629
640,661
660,683
680,774
700,764
720,818
740,863
760,864
780,949
800,952
820,982
840,991
860,1079
880,1069
900,1144
920,1093
940,1264
960,1224
980,1250
1000,1328
1020,1373
1040,1450
1060,1387
1080,1544
1100,1535
1120,1545
1140,1564
1160,1666
1180,1676
1200,1697
1220,1794
1240,1876
1260,1874
1280,1874
1300,1986
1320,1994
1340,2036
1360,2122
1380,2103
1400,2240
1420,2329
1440,2301
1460,2326
1480,2397
1500,2478
1520,2501
1540,2731
1560,2585
1580,2615
1600,2878
1620,2799
1640,2850
1660,2919
1680,2971
1700,3131
1720,3199
1740,3053
1760,3048
1780,3227
1800,3282
1820,3322
1840,3392
1860,3486
1880,3652
1900,3555
1920,3854
1940,3792
1960,4016
1980,3925
2000,4133
