n,nodes
120,92
144,129
168,198
192,242
216,354
240,493
264,738
288,885
312,1297
336,1829
360,2758
384,3300
408,4880
432,6961
456,10594
480,12687
504,18895
528,27137
552,41542
576,49798
600,74462
624,107301
648,164738
672,197593
696,296013
720,427181
744,656678
768,787864
792,1181228
816,1705641
840,2623298
864,3147731
888,4720779
912,6818089
936,10488294
960,12585626
984,18877306
1008,27266109
1032,41946402
1056,50335229
1080,75501321
1104,109055989
1128,OOT
1152,OOT
1176,OOT
1200,OOT
