n,nodes
120,244
144,523
168,861
192,2225
216,4118
240,8106
264,12632
288,31427
312,49678
336,117246
360,186360
384,444146
408,939476
432,1824539
456,3024140
480,7823099
504,12092362
528,30559082
552,63565207
576,104873445
576,OOT
600,150525792
600,OOT
624,OOT
648,OOT
672,OOT
696,OOT
720,OOT
744,OOT
768,OOT
792,OOT
816,OOT
840,OOT
864,OOT
888,OOT
912,OOT
936,OOT
960,OOT
984,OOT
1008,OOT
1032,OOT
1056,OOT
1080,OOT
1104,OOT
1128,OOT
1152,OOT
1176,OOT
1200,OOT
