n,nodes
4,7
8,6
16,21
32,23
48,23
64,31
80,119
96,66
112,361
128,146
144,458
160,894
176,303
192,234
208,208874
224,3032
240,295
256,57
272,477
288,420
304,1071
320,463
336,329
352,1476
368,1877269
384,967
400,3259082
416,616
432,672
448,2582
464,2808498
480,1834
496,1200
512,67
528,712
544,1777
560,926
576,1599
592,2066
608,661
624,2051164
624,OOT
640,2400
656,1077
672,1211
688,3108360
688,OOT
704,1859
720,954
736,OOT
752,OOT
768,1096
784,2517
800,949
816,2622
832,OOT
848,1373
864,2724
880,2452
896,1269
912,1301
928,OOT
944,OOT
960,1082
976,1924
992,6002
1008,1417
1024,77
