n,nodes
4,6
8,6
16,16
32,20
48,25
64,26
80,90
96,124
112,89
128,1099
144,152
160,485
176,27
192,23
208,22336
224,582
240,73
256,48
272,50
288,195
304,62
320,117
336,155
352,375
368,58613
384,337
400,92443
416,149
432,25
448,798
464,104860
480,263
496,1246
512,58
528,76
544,312
560,138
576,508
592,122
608,326
624,202482
640,563
656,479
672,359
688,167917
704,601
720,233
736,174086
752,OOT
768,173
784,607
800,354
816,782
832,50916
848,525
864,924
880,839
896,207
912,296
928,402756
944,OOT
960,119
976,288
992,1163
1008,527
1024,70
