n,nodes
4,1
8,8
16,17
32,16
48,21
64,20
80,100
96,92
112,80
128,421
144,69
160,252
176,33
192,32
208,12821
224,259
240,28
256,32
272,31
288,29
304,68
320,61
336,35
352,182
368,35759
384,81
400,40429
416,33
432,31
448,403
464,54443
480,202
496,62
512,33
528,35
544,81
560,29
576,69
592,68
608,29
624,33435
640,171
656,33
672,103
688,45740
704,204
720,30
736,132510
752,OOT
768,31
784,68
800,34
816,65
832,34477
848,115
864,82
880,70
896,30
912,33
928,204887
944,OOT
960,31
976,86
992,500
1008,29
1024,36
