n,nodes
4,6
8,10
16,15
32,32
48,40
64,50
80,179
96,110
112,118
128,588
144,88
160,1106
176,34
192,42
208,12617
224,360
240,42
256,105
272,31
288,33
304,80
320,33
336,42
352,342
368,46533
384,261
400,54450
416,29
432,30
448,1390
464,76028
480,408
496,79
512,144
528,33
544,585
560,43
576,413
592,96
608,34
624,58035
640,421
656,47
672,33
688,48330
704,1284
720,42
736,134120
752,OOT
768,33
784,90
800,41
816,93
832,65281
848,30
864,544
880,91
896,42
912,30
928,284027
944,OOT
960,30
976,2144
992,1092
1008,38
1024,192
