n,nodes
4,5
8,6
16,18
32,48
48,44
64,94
80,296
96,374
112,2630
128,542
144,1543
160,1969
176,621
192,836
208,661686
224,17455
240,918
256,225
272,1112
288,1329
304,3952
320,1406
336,1541
352,17973
368,3473669
384,3462
400,4783867
416,1599
432,1521
448,63226
464,7692177
480,25062
496,7498
512,325
528,2166
544,5136
560,2265
576,8565
592,5755
608,2602
624,9748779
640,44074
656,2632
672,2961
688,OOT
704,29343
720,2717
736,OOT
752,OOT
768,3141
784,7153
800,2995
816,6986
832,11511130
832,OOT
848,3566
864,59124
880,8397
896,3426
912,3202
928,OOT
944,OOT
960,3491
976,10487
992,52056
1008,3101
1024,451
