n,nodes
4,5
8,7
16,12
32,29
48,19
64,39
80,268
96,155
112,2117
128,370
144,1021
160,1821
176,594
192,652
208,538666
224,12860
240,698
256,80
272,931
288,1124
304,2009
320,930
336,1072
352,6409
368,3205254
384,2054
400,3801146
416,1387
432,1445
448,26500
464,5961907
480,6536
496,3241
512,95
528,1726
544,3593
560,1753
576,7069
592,3243
608,1659
624,6853765
640,9537
656,2095
672,2446
688,9093581
688,OOT
704,17120
720,2429
736,15203407
736,OOT
752,OOT
768,2110
784,5207
800,2216
816,4809
832,2923004
848,2194
864,14058
880,6088
896,3323
912,2381
928,OOT
944,OOT
960,2555
976,6889
992,22984
1008,3018
1024,132
