n,nodes
4,5
8,6
16,18
32,29
48,22
64,57
80,668
96,807
112,1047
128,2768
144,1035
160,7164
176,284
192,369
208,64312
224,8852
240,251
256,131
272,436
288,583
304,1434
320,449
336,567
352,15270
368,144234
384,16920
400,169012
416,691
432,759
448,31851
464,226209
480,10462
496,9457
512,181
528,879
544,3608
560,1369
576,11816
592,6442
608,980
624,187959
640,45507
656,1410
672,1101
688,355346
704,132411
720,756
736,1283857
752,OOT
768,1504
784,7062
800,911
816,6160
832,379423
848,1386
864,69569
880,7007
896,2084
912,1944
928,1504041
944,OOT
960,2517
976,2863
992,51324
1008,1240
1024,263
