n,nodes
4,5
8,5
16,12
32,16
48,13
64,19
80,268
96,479
112,478
128,1714
144,785
160,2889
176,157
192,367
208,38549
224,4301
240,220
256,23
272,349
288,511
304,712
320,436
336,717
352,9485
368,176422
384,8110
400,173108
416,559
432,481
448,36882
464,198605
480,4926
496,1684
512,25
528,346
544,2306
560,412
576,9816
592,2116
608,812
624,189469
640,14639
656,623
672,958
688,391394
704,23685
720,741
736,915119
752,OOT
768,1479
784,2917
800,897
816,1602
832,328470
848,1209
864,16893
880,2919
896,1185
912,937
928,1466083
944,OOT
960,1652
976,1068
992,18704
1008,723
1024,31
