n,nodes
4,5
8,5
16,19
32,32
48,27
64,53
80,562
96,1442
112,1215
128,4592
144,1084
160,7637
176,435
192,287
208,38978
224,8056
240,645
256,127
272,546
288,892
304,1677
320,857
336,632
352,7564
368,153578
384,28098
400,173233
416,1061
432,771
448,67284
464,194987
480,34925
496,3187
512,195
528,1039
544,3167
560,1363
576,41938
592,4579
608,1075
624,267560
640,14768
656,824
672,1907
688,468645
704,116115
720,897
736,1288371
752,OOT
768,1271
784,6442
800,1315
816,10921
832,354343
848,1230
864,73996
880,8169
896,1379
912,1630
928,1847184
944,OOT
960,1756
976,4184
992,30664
1008,1047
1024,264
