n,nodes
4,5
8,5
16,12
32,17
48,11
64,17
80,161
96,432
112,1203
128,1169
144,469
160,3251
176,128
192,267
208,36972
224,8583
240,284
256,22
272,297
288,226
304,989
320,306
336,423
352,3777
368,162533
384,6437
400,112827
416,439
432,628
448,35613
464,285638
480,22220
496,1622
512,27
528,710
544,2082
560,628
576,10055
592,1367
608,933
624,135044
640,9672
656,944
672,629
688,388277
704,17941
720,962
736,1326795
752,OOT
768,789
784,1774
800,1456
816,2757
832,273098
848,612
864,12852
880,2112
896,919
912,1662
928,1171368
944,OOT
960,989
976,2459
992,48307
1008,428
1024,29
