n,nodes
4,5
8,6
16,15
32,26
48,25
64,40
80,160
96,483
112,1513
128,245
144,609
160,883
176,483
192,302
208,545282
224,4014
240,480
256,78
272,570
288,485
304,1533
320,562
336,816
352,5200
368,3046159
384,1555
400,3935336
416,707
432,692
448,5926
464,6021920
480,7346
496,2285
512,102
528,1080
544,3174
560,930
576,8786
592,2652
608,1152
624,3822262
640,9409
656,1457
672,1487
688,13411087
688,OOT
704,15338
720,1596
736,OOT
752,OOT
768,2306
784,3585
800,1768
816,3178
832,9099417
832,OOT
848,1761
864,11901
880,3687
896,2102
912,1376
928,OOT
944,OOT
960,1679
976,2855
992,7261
1008,1954
1024,141
