n,nodes
4,5
8,6
16,14
32,27
48,24
64,39
80,167
96,167
112,1342
128,213
144,800
160,847
176,393
192,296
208,277563
224,3304
240,466
256,80
272,531
288,576
304,1390
320,551
336,636
352,5361
368,2053344
384,1589
400,3517994
416,693
432,817
448,4629
464,4370791
480,6378
496,2689
512,101
528,1137
544,2287
560,1158
576,7803
592,2541
608,1163
624,6645355
640,8340
656,1335
672,1285
688,5946373
704,11606
720,1078
736,11614201
752,OOT
768,1335
784,2929
800,1702
816,3532
832,4020296
848,1569
864,11823
880,3297
896,1541
912,1785
928,OOT
944,OOT
960,1676
976,2936
992,7322
1008,2275
1024,137
