n,nodes
4,5
8,6
16,14
32,18
48,24
64,28
80,531
96,833
112,1804
128,3014
144,513
160,3598
176,256
192,201
208,44493
224,1580
240,104
256,46
272,436
288,332
304,1261
320,344
336,261
352,4006
368,147087
384,2877
400,192562
416,774
432,547
448,6102
464,238866
480,8059
496,2149
512,54
528,299
544,1894
560,860
576,8145
592,2350
608,713
624,204942
640,8464
656,1138
672,822
688,409677
704,45836
720,1170
736,509930
752,OOT
768,334
784,3372
800,1289
816,2747
832,124900
848,1126
864,21000
880,3461
896,1017
912,1301
928,919356
944,OOT
960,882
976,2807
992,7730
1008,331
1024,63
