n,nodes
4,6
8,5
16,15
32,19
48,25
64,27
80,269
96,149
112,616
128,2130
144,258
160,1956
176,139
192,94
208,31494
224,920
240,105
256,49
272,36
288,89
304,507
320,175
336,203
352,3059
368,95287
384,1798
400,137344
416,201
432,382
448,2150
464,149958
480,841
496,693
512,56
528,446
544,545
560,363
576,2587
592,776
608,153
624,127646
640,3382
656,228
672,299
688,107015
704,13331
720,247
736,269416
752,OOT
768,500
784,1279
800,433
816,938
832,108385
848,127
864,6626
880,1217
896,744
912,397
928,484876
944,OOT
960,512
976,1009
992,1938
1008,731
1024,69
