n,nodes
4,5
8,5
16,15
32,19
48,24
64,26
80,367
96,428
112,2429
128,5239
144,616
160,3234
176,192
192,212
208,52396
224,3245
240,187
256,47
272,268
288,485
304,845
320,443
336,262
352,4918
368,137084
384,6726
400,159502
416,439
432,409
448,5061
464,217494
480,7402
496,1351
512,60
528,559
544,2636
560,1085
576,8300
592,2413
608,455
624,288497
640,15451
656,878
672,691
688,377343
704,51165
720,597
736,430954
752,OOT
768,1093
784,2453
800,1465
816,2783
832,217455
848,881
864,12379
880,3274
896,1718
912,749
928,715229
944,OOT
960,1556
976,2534
992,8880
1008,1134
1024,64
