n,nodes
4,5
8,6
16,15
32,20
48,23
64,27
80,367
96,185
112,640
128,2965
144,248
160,1824
176,68
192,152
208,32024
224,822
240,130
256,46
272,88
288,96
304,576
320,160
336,263
352,2732
368,103684
384,3386
400,134727
416,322
432,75
448,2474
464,118886
480,4327
496,927
512,61
528,141
544,1068
560,424
576,3379
592,814
608,211
624,95824
640,4753
656,168
672,500
688,265095
704,13312
720,253
736,315404
752,OOT
768,417
784,1280
800,275
816,1746
832,119298
848,288
864,5071
880,1222
896,303
912,488
928,578821
944,OOT
960,236
976,258
992,3696
1008,234
1024,62
