n,nodes
2,1
3,1
4,5
5,8
6,13
7,16
8,22
9,26
10,31
11,32
12,39
13,40
14,46
15,52
16,57
17,56
18,60
19,64
20,80
21,72
22,79
23,87
24,84
25,96
26,92
27,96
28,100
29,104
30,108
31,112
32,127
33,137
34,124
35,146
36,151
37,136
38,146
39,158
40,148
41,152
42,156
43,168
44,164
45,168
46,172
47,176
48,180
49,184
50,188
51,201
52,196
53,200
54,214
55,208
56,212
57,216
58,220
59,224
60,228
61,232
62,236
63,240
64,244
65,248
66,252
67,256
68,260
69,277
70,268
71,272
72,276
73,280
74,284
75,288
76,292
77,296
78,300
79,304
80,353
81,312
82,316
83,320
84,324
85,328
86,332
87,336
88,340
89,344
90,348
91,352
92,356
93,360
94,364
95,368
96,372
97,376
98,380
99,384
100,388
