n,nodes
2,2
3,5
4,11
5,15
6,33
7,55
8,81
9,119
10,171
11,236
12,327
13,435
14,572
15,719
16,891
17,1094
18,1327
19,1581
20,1894
21,2200
22,2561
23,2996
24,3415
25,3922
26,4462
27,5059
28,5695
29,6360
30,7101
31,7885
32,8718
33,9633
34,10630
35,11687
36,12756
37,13961
38,15127
39,16459
40,17835
41,19238
42,20805
43,22386
44,24107
45,25957
46,27653
47,29685
48,31670
49,33763
50,36036
51,38337
52,40815
53,43406
54,45868
55,48600
56,51405
57,54316
58,57381
59,60536
60,63816
61,67112
62,70701
63,74197
64,77937
65,81877
66,85737
67,89997
68,94137
69,98554
70,103009
71,107767
72,112423
73,117258
74,122335
75,127540
76,132989
77,138390
78,144176
79,149806
80,155679
81,161705
82,168195
83,174440
84,181058
85,187671
86,194549
87,201955
88,209208
89,216385
90,223961
91,231713
92,239677
93,247861
94,255981
95,264602
96,273298
97,281931
98,291021
99,300323
100,309621
