n,nodes
2,2
3,5
4,7
5,13
6,19
7,22
8,27
9,41
10,47
11,57
12,49
13,46
14,73
15,79
16,91
17,71
18,99
19,91
20,103
21,113
22,110
23,155
24,166
25,140
26,131
27,157
28,179
29,174
30,197
31,187
32,193
33,205
34,199
35,211
36,176
37,260
38,230
39,236
40,258
41,297
42,345
43,269
44,241
45,379
46,226
47,286
48,339
49,327
50,353
51,411
52,368
53,448
54,350
55,422
56,386
57,471
58,491
59,476
60,515
61,517
62,452
63,583
64,505
65,525
66,521
67,449
68,550
69,558
70,553
71,673
72,540
73,562
74,818
75,563
76,631
77,533
78,709
79,625
80,696
81,673
82,730
83,558
84,797
85,891
86,715
87,757
88,697
89,757
90,713
91,685
92,747
93,1068
94,726
95,771
96,894
97,1133
98,951
99,941
100,753
