n,nodes
2,2
3,5
4,10
5,19
6,33
7,51
8,77
9,119
10,171
11,262
12,325
13,442
14,568
15,720
16,893
17,1072
18,1314
19,1592
20,1875
21,2187
22,2577
23,3009
24,3401
25,3922
26,4467
27,5048
28,5695
29,6332
30,7124
31,7855
32,8725
33,9669
34,10630
35,11646
36,12734
37,13896
38,15142
39,16437
40,17757
41,19245
42,20780
43,22420
44,24056
45,25843
46,27733
47,29649
48,31698
49,33830
50,36095
51,38327
52,40785
53,43281
54,45878
55,48611
56,51526
57,54428
58,57382
59,60513
60,63745
61,67140
62,70664
63,74197
64,77974
65,81954
66,85737
67,89918
68,94096
69,98636
70,102996
71,107794
72,112593
73,117229
74,122364
75,127496
76,132831
77,138299
78,143915
79,149853
80,155568
81,161817
82,168195
83,174489
84,181174
85,187856
86,194601
87,201921
88,208964
89,216473
90,223854
91,231726
92,239550
93,247785
94,256130
95,264602
96,273108
97,282219
98,291099
99,300264
100,309759
