n,nodes
2,2
3,5
4,8
5,13
6,17
7,27
8,26
9,34
10,38
11,43
12,51
13,73
14,63
15,59
16,70
17,74
18,92
19,87
20,99
21,133
22,127
23,119
24,125
25,169
26,106
27,167
28,141
29,208
30,180
31,193
32,211
33,244
34,205
35,225
36,239
37,281
38,304
39,343
40,320
41,297
42,296
43,295
44,302
45,309
46,334
47,332
48,405
49,327
50,393
51,521
52,337
53,354
54,446
55,422
56,430
57,527
58,400
59,383
60,378
61,529
62,513
63,360
64,542
65,513
66,521
67,463
68,644
69,490
70,566
71,519
72,512
73,461
74,774
75,533
76,646
77,563
78,724
79,593
80,664
81,593
82,892
83,673
84,648
85,773
86,596
87,671
88,836
89,881
90,659
91,793
92,619
93,645
94,856
95,828
96,894
97,711
98,971
99,824
100,832
