n,nodes
2,2
3,5
4,10
5,19
6,29
7,50
8,80
9,123
10,178
11,244
12,342
13,430
14,565
15,711
16,903
17,1091
18,1328
19,1592
20,1909
21,2196
22,2569
23,3004
24,3419
25,3918
26,4466
27,5058
28,5652
29,6433
30,7118
31,7926
32,8737
33,9650
34,10636
35,11701
36,12755
37,13932
38,15127
39,16421
40,17835
41,19245
42,20764
43,22445
44,24125
45,25887
46,27743
47,29621
48,31721
49,33782
50,36026
51,38397
52,40754
53,43354
54,45995
55,48589
56,51383
57,54271
58,57279
59,60510
60,63710
61,67068
62,70615
63,74197
64,78050
65,81800
66,85802
67,89934
68,94163
69,98418
70,102927
71,107599
72,112437
73,117460
74,122423
75,127526
76,132892
77,138512
78,143976
79,149837
80,155632
81,161818
82,168001
83,174571
84,181041
85,187856
86,194680
87,201815
88,208981
89,216420
90,224068
91,231713
92,239696
93,247840
94,256167
95,264621
96,273317
97,282052
98,291079
99,300303
100,309839
