n,nodes
2,2
3,5
4,8
5,13
6,17
7,23
8,29
9,37
10,40
11,43
12,51
13,56
14,79
15,68
16,85
17,103
18,96
19,105
20,115
21,109
22,114
23,159
24,152
25,154
26,166
27,146
28,184
29,185
30,186
31,196
32,187
33,161
34,238
35,239
36,281
37,224
38,282
39,206
40,274
41,321
42,288
43,303
44,250
45,361
46,370
47,369
48,367
49,346
50,344
51,431
52,317
53,469
54,372
55,389
56,386
57,404
58,514
59,511
60,473
61,529
62,513
63,509
64,416
65,589
66,495
67,634
68,537
69,525
70,622
71,533
72,611
73,605
74,541
75,571
76,661
77,548
78,555
79,593
80,652
81,833
82,616
83,739
84,748
85,807
86,732
87,551
88,679
89,722
90,837
91,793
92,547
93,737
94,782
95,922
96,1008
97,903
98,951
99,843
100,931
