n,nodes
2,2
3,5
4,9
5,14
6,20
7,27
8,35
9,44
10,54
11,65
12,77
13,90
14,104
15,119
16,135
17,152
18,170
19,189
20,209
21,230
22,252
23,275
24,299
25,324
26,350
27,377
28,405
29,434
30,464
31,495
32,527
33,560
34,594
35,629
36,665
37,702
38,740
39,779
40,819
41,860
42,902
43,945
44,989
45,1034
46,1080
47,1127
48,1175
49,1224
50,1274
51,1325
52,1377
53,1430
54,1484
55,1539
56,1595
57,1652
58,1710
59,1769
60,1829
61,1890
62,1952
63,2015
64,2079
65,2144
66,2210
67,2277
68,2345
69,2414
70,2484
71,2555
72,2627
73,2700
74,2774
75,2849
76,2925
77,3002
78,3080
79,3159
80,3239
81,3320
82,3402
83,3485
84,3569
85,3654
86,3740
87,3827
88,3915
89,4004
90,4094
91,4185
92,4277
93,4370
94,4464
95,4559
96,4655
97,4752
98,4850
99,4949
100,5049
