n,nodes
68,11
72,15
144,31
216,71
288,159
360,351
432,1407
504,1151
576,5247
648,30693
720,8191
792,17407
864,53247
936,131071
1008,557055
1080,1048575
1152,1441791
1224,5308415
1296,6815743
1368,5941929
1368,OOT
1440,6990505
1440,OOT
1512,16777215
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
