n,nodes
68,11
72,15
144,27
216,64
288,125
360,358
432,809
504,1588
576,3910
648,2369
720,14336
792,12650
864,12287
936,59299
1008,81919
1080,439298
1152,1578006
1224,2729631
1296,2818047
1368,8614557
1368,OOT
1440,6422529
1512,7110656
1512,OOT
1584,11883860
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
