n,nodes
0,1
68,10
72,12
144,45
216,286
288,340
360,3814
432,1421
504,13683
576,20455
648,27412
720,37284
792,4131588
792,OOT
864,275831
936,3063058
1008,4191309
1080,15555499
1080,OOT
1152,OOT
1224,3888555
1224,OOT
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
