n,nodes
0,1
68,11
72,12
144,39
216,275
288,323
360,1231
432,1181
504,14168
576,18858
648,11469
720,37489
792,3296181
864,261083
936,2463518
1008,4124141
1080,19269760
1080,OOT
1152,18436880
1152,OOT
1224,3888555
1224,OOT
1296,27533482
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
