n,nodes
0,1
68,10
72,12
144,45
216,277
288,375
360,3731
432,1477
504,14129
576,20513
648,27404
720,39219
792,3820863
864,275364
936,2804242
1008,4288758
1080,15555499
1080,OOT
1152,OOT
1224,3888555
1224,OOT
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
