n,nodes
0,1
68,16
72,21
144,32
216,158
288,548
360,695
432,3046
504,2723
576,9708
648,11271
720,88489
792,1504597
864,171197
936,1181154
936,OOT
1008,12408174
1008,OOT
1080,3495253
1080,OOT
1152,18175591
1152,OOT
1224,7462592
1224,OOT
1296,16078193
1296,OOT
1368,22369621
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
