n,nodes
0,1
68,15
72,21
144,36
216,150
288,597
360,1646
432,4155
504,3673
576,10279
648,25814
720,175975
792,1273855
864,208743
936,1004885
936,OOT
1008,5592405
1008,OOT
1080,3844778
1080,OOT
1152,OOT
1224,5592405
1224,OOT
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
