n,nodes
0,1
68,15
72,21
144,29
216,158
288,526
360,721
432,3111
504,2460
576,9473
648,10632
720,94869
792,1418019
864,158218
936,1173406
936,OOT
1008,12408189
1008,OOT
1080,3495253
1080,OOT
1152,18415285
1152,OOT
1224,7462592
1224,OOT
1296,16650144
1296,OOT
1368,22369621
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
