n,nodes
0,1
68,15
72,21
144,27
216,123
288,580
360,607
432,3176
504,2567
576,10048
648,10370
720,102700
792,1889621
864,171175
936,1094565
936,OOT
1008,8306400
1008,OOT
1080,3495253
1080,OOT
1152,18311014
1152,OOT
1224,7461864
1224,OOT
1296,16078190
1296,OOT
1368,22369621
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
