n,nodes
0,1
68,15
72,21
144,30
216,141
288,565
360,610
432,3170
504,2518
576,9271
648,10422
720,96034
792,1226551
864,175352
936,1059850
936,OOT
1008,2446741
1008,OOT
1080,3495253
1080,OOT
1152,15747577
1152,OOT
1224,6888158
1224,OOT
1296,14967941
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
