n,nodes
64,14
128,21
192,21
256,21
320,53
384,375
448,213
512,274
576,466
640,597
704,853
768,1365
832,1365
896,3413
960,3413
1024,13653
1088,17749
1152,21845
1216,138717
1216,OOT
1280,21845
1280,OOT
1344,38229
1344,OOT
1408,54613
1472,87381
1536,64782
1536,OOT
1600,87381
1600,OOT
1664,87381
1664,OOT
1728,OOT
1792,87381
1792,OOT
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
