n,nodes
64,12
128,21
192,17
256,37
320,62
384,119
448,149
512,184
576,277
640,507
704,1109
768,1109
832,1032
896,3656
960,2389
1024,4437
1088,5307
1152,32392
1216,16725
1280,50517
1344,27784
1408,83404
1472,136533
1536,158244
1600,202069
1664,172566
1728,546133
1792,283989
1856,756693
1920,1660271
1920,OOT
1984,1398101
1984,OOT
2048,994314
2048,OOT
2112,1255113
2112,OOT
2176,1790889
2176,OOT
2240,1398101
2240,OOT
2304,2221982
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,1398101
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
