n,nodes
64,10
128,17
192,17
256,20
320,171
384,114
448,746
512,1807
576,786
640,4535
704,3011
768,11527
832,23642
896,67329
960,64725
960,OOT
1024,70912
1024,OOT
1088,79272
1152,216338
1152,OOT
1216,465993
1216,OOT
1280,OOT
1344,OOT
1408,148250
1408,OOT
1472,OOT
1536,OOT
1600,OOT
1664,OOT
1728,OOT
1792,OOT
1856,OOT
1920,OOT
1984,OOT
2048,OOT
2112,OOT
2176,OOT
2240,OOT
2304,OOT
2368,OOT
2432,OOT
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
