n,nodes
64,11
128,21
192,21
256,21
320,37
384,25
448,85
512,197
576,149
640,597
704,597
768,1951
832,1004
896,3098
960,1942
1024,5461
1088,8659
1152,7509
1216,23893
1280,95573
1344,13333
1408,44885
1472,109166
1536,87381
1600,171349
1664,125902
1728,738827
1792,679323
1856,1310478
1856,OOT
1920,677205
1920,OOT
1984,599388
2048,1005917
2112,699733
2112,OOT
2176,1398101
2176,OOT
2240,OOT
2304,1545766
2368,349525
2368,OOT
2432,OOT
2496,2397798
2496,OOT
2560,OOT
2624,OOT
2688,OOT
2752,OOT
2816,OOT
2880,OOT
2944,OOT
3008,OOT
3072,OOT
3136,OOT
3200,OOT
3264,OOT
3328,OOT
3392,OOT
3456,OOT
3520,OOT
3584,OOT
3648,OOT
3712,OOT
3776,OOT
3840,OOT
3904,OOT
3968,OOT
4032,OOT
