n,nodes
64,11
128,19
192,11
256,16
320,51
384,126
448,638
512,571
576,1216
640,3413
704,3238
768,17016
832,34773
896,12224
960,20082
1024,62975
1088,99292
1152,193246
1152,OOM
1216,69520
1280,212149
1344,259413
1344,OOM
1408,436906
1408,OOM
1472,261461
1472,OOM
1536,185685
1536,OOM
1600,382293
1600,OOM
1664,OOM
1728,436949
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
