n,nodes
64,8
128,15
192,10
256,17
320,53
384,196
448,439
512,542
576,1208
640,3242
704,3149
768,29814
832,27530
896,13518
960,17649
1024,47104
1088,76249
1152,332698
1216,54154
1280,192254
1344,615392
1408,754933
1472,556958
1472,OOM
1536,442615
1536,OOM
1600,693590
1600,OOM
1664,775509
1664,OOM
1728,459541
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
