n,nodes
64,9
128,16
192,11
256,16
320,51
384,159
448,437
512,582
576,1237
640,3460
704,3208
768,28100
832,36821
896,12905
960,21072
1024,39332
1088,85380
1152,488789
1216,54383
1280,184997
1344,531886
1408,775509
1472,571733
1472,OOM
1536,442615
1536,OOM
1600,576853
1600,OOM
1664,775509
1664,OOM
1728,459541
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
