n,nodes
64,8
128,17
192,11
256,18
320,53
384,176
448,461
512,606
576,1220
640,3692
704,3447
768,16964
832,31157
896,13005
960,20341
1024,41397
1088,77662
1152,488789
1216,53437
1280,191221
1344,558121
1408,775509
1472,586507
1472,OOM
1536,454850
1536,OOM
1600,693590
1600,OOM
1664,775509
1664,OOM
1728,464754
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
