n,nodes
64,9
128,16
192,11
256,17
320,53
384,166
448,437
512,605
576,1205
640,3369
704,3071
768,25360
832,39631
896,12981
960,23781
1024,54633
1088,76933
1152,443733
1216,55717
1280,184203
1344,527928
1408,782367
1472,556958
1472,OOM
1536,421205
1536,OOM
1600,678766
1600,OOM
1664,775509
1664,OOM
1728,459541
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
