n,nodes
64,8
128,15
192,10
256,17
320,57
384,122
448,429
512,705
576,1221
640,3483
704,3044
768,26621
832,29948
896,12465
960,22203
1024,41159
1088,91149
1152,537030
1216,55518
1280,197235
1344,552991
1408,775509
1472,571733
1472,OOM
1536,431445
1536,OOM
1600,678767
1600,OOM
1664,775509
1664,OOM
1728,453893
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
