n,nodes
64,9
128,16
192,11
256,17
320,48
384,145
448,414
512,620
576,1178
640,4066
704,3413
768,27531
832,34599
896,13228
960,20610
1024,43830
1088,100271
1152,472795
1216,54832
1280,192673
1344,558121
1408,775509
1472,556958
1472,OOM
1536,468309
1536,OOM
1600,693591
1600,OOM
1664,775509
1664,OOM
1728,459541
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
