n,nodes
64,8
128,15
192,11
256,18
320,54
384,88
448,326
512,772
576,1069
640,3524
704,4048
768,23692
832,34952
896,13360
960,29354
1024,112250
1088,80701
1152,282594
1216,55923
1280,221433
1344,568870
1408,873813
1472,1135957
1536,931159
1536,OOM
1600,1016284
1600,OOM
1664,1398101
1664,OOM
1728,702000
1728,OOM
1792,1398101
1792,OOM
1856,1398101
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
